1	4	10	7	12	9	5	2	11	3	9	
2	5	11	8	1	10	6	3	12	4	10	
3	6	12	9	2	11	7	4	1	5	11	
4	7	1	10	3	12	8	5	2	6	12	
5	8	2	11	4	1	9	6	3	7	1	
6	9	3	12	5	2	10	7	4	8	2	
7	10	4	1	6	3	11	8	5	9	3	
8	11	5	2	7	4	12	9	6	10	4	
9	12	6	3	8	5	1	10	7	11	5	
10	1	7	4	9	6	2	11	8	12	6	
11	2	8	5	10	7	3	12	9	1	7	
12	3	9	6	11	8	4	1	10	2	8	
1	5	12	10	4	2	11	9	8	11	7	
2	6	1	11	5	3	12	10	9	12	8	
3	7	2	12	6	4	1	11	10	1	9	
4	8	3	1	7	5	2	12	11	2	10	
5	9	4	2	8	6	3	1	12	3	11	
6	10	5	3	9	7	4	2	1	4	12	
7	11	6	4	10	8	5	3	2	5	1	
8	12	7	5	11	9	6	4	3	6	2	
9	1	8	6	12	10	7	5	4	7	3	
10	2	9	7	1	11	8	6	5	8	4	
11	3	10	8	2	12	9	7	6	9	5	
12	4	11	9	3	1	10	8	7	10	6	
1	6	11	12	8	7	2	5	3	9	4	
2	7	12	1	9	8	3	6	4	10	5	
3	8	1	2	10	9	4	7	5	11	6	
4	9	2	3	11	10	5	8	6	12	7	
5	10	3	4	12	11	6	9	7	1	8	
6	11	4	5	1	12	7	10	8	2	9	
7	12	5	6	2	1	8	11	9	3	10	
8	1	6	7	3	2	9	12	10	4	11	
9	2	7	8	4	3	10	1	11	5	12	
10	3	8	9	5	4	11	2	12	6	1	
11	4	9	10	6	5	12	3	1	7	2	
12	5	10	11	7	6	1	4	2	8	3	
1	3	4	11	9	10	8	12	7	5	2	
2	4	5	12	10	11	9	1	8	6	3	
3	5	6	1	11	12	10	2	9	7	4	
4	6	7	2	12	1	11	3	10	8	5	
5	7	8	3	1	2	12	4	11	9	6	
6	8	9	4	2	3	1	5	12	10	7	
7	9	10	5	3	4	2	6	1	11	8	
8	10	11	6	4	5	3	7	2	12	9	
9	11	12	7	5	6	4	8	3	1	10	
10	12	1	8	6	7	5	9	4	2	11	
11	1	2	9	7	8	6	10	5	3	12	
12	2	3	10	8	9	7	11	6	4	1	
